"B04001_054E","Estimate!!Total!!Luxemburger",
"B04001_054M","Margin of Error!!Total!!Luxemburger",
"B04001_055E","Estimate!!Total!!Macedonian",
"B04001_055M","Margin of Error!!Total!!Macedonian",
"B04001_056E","Estimate!!Total!!Maltese",
"B04001_056M","Margin of Error!!Total!!Maltese",
"B04001_057E","Estimate!!Total!!New Zealander",
"B04001_057M","Margin of Error!!Total!!New Zealander",
"B04001_058E","Estimate!!Total!!Northern European",
"B04001_058M","Margin of Error!!Total!!Northern European",
"B04001_059E","Estimate!!Total!!Norwegian",
"B04001_059M","Margin of Error!!Total!!Norwegian",
"B04001_060E","Estimate!!Total!!Pennsylvania German",
"B04001_060M","Margin of Error!!Total!!Pennsylvania German",
"B04001_061E","Estimate!!Total!!Polish",
"B04001_061M","Margin of Error!!Total!!Polish",
"B04001_062E","Estimate!!Total!!Portuguese",
"B04001_062M","Margin of Error!!Total!!Portuguese",
"B04001_063E","Estimate!!Total!!Romanian",
"B04001_063M","Margin of Error!!Total!!Romanian",
"B04001_064E","Estimate!!Total!!Russian",
"B04001_064M","Margin of Error!!Total!!Russian",
"B04001_065E","Estimate!!Total!!Scandinavian",
"B04001_065M","Margin of Error!!Total!!Scandinavian",
"B04001_066E","Estimate!!Total!!Scotch-Irish",
"B04001_066M","Margin of Error!!Total!!Scotch-Irish",
"B04001_067E","Estimate!!Total!!Scottish",
"B04001_067M","Margin of Error!!Total!!Scottish",
"B04001_068E","Estimate!!Total!!Serbian",
"B04001_068M","Margin of Error!!Total!!Serbian",
"B04001_069E","Estimate!!Total!!Slavic",
"B04001_069M","Margin of Error!!Total!!Slavic",
"B04001_070E","Estimate!!Total!!Slovak",
"B04001_070M","Margin of Error!!Total!!Slovak",
"B04001_071E","Estimate!!Total!!Slovene",
"B04001_071M","Margin of Error!!Total!!Slovene",
"B04001_072E","Estimate!!Total!!Soviet Union",
"B04001_072M","Margin of Error!!Total!!Soviet Union",
