"GEO_ID","NAME","B02015_001E","B02015_001M","B02015_002E","B02015_002M","B02015_003E","B02015_003M","B02015_004E","B02015_004M","B02015_005E","B02015_005M","B02015_006E","B02015_006M","B02015_007E","B02015_007M","B02015_008E","B02015_008M","B02015_009E","B02015_009M","B02015_010E","B02015_010M","B02015_011E","B02015_011M","B02015_012E","B02015_012M","B02015_013E","B02015_013M","B02015_014E","B02015_014M","B02015_015E","B02015_015M","B02015_016E","B02015_016M","B02015_017E","B02015_017M","B02015_018E","B02015_018M","B02015_019E","B02015_019M","B02015_020E","B02015_020M","B02015_021E","B02015_021M","B02015_022E","B02015_022M","B02015_023E","B02015_023M","B02015_024E","B02015_024M","B02015_025E","B02015_025M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Asian Indian","Margin of Error!!Total!!Asian Indian","Estimate!!Total!!Bangladeshi","Margin of Error!!Total!!Bangladeshi","Estimate!!Total!!Bhutanese","Margin of Error!!Total!!Bhutanese","Estimate!!Total!!Burmese","Margin of Error!!Total!!Burmese","Estimate!!Total!!Cambodian","Margin of Error!!Total!!Cambodian","Estimate!!Total!!Chinese, except Taiwanese","Margin of Error!!Total!!Chinese, except Taiwanese","Estimate!!Total!!Filipino","Margin of Error!!Total!!Filipino","Estimate!!Total!!Hmong","Margin of Error!!Total!!Hmong","Estimate!!Total!!Indonesian","Margin of Error!!Total!!Indonesian","Estimate!!Total!!Japanese","Margin of Error!!Total!!Japanese","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Laotian","Margin of Error!!Total!!Laotian","Estimate!!Total!!Malaysian","Margin of Error!!Total!!Malaysian","Estimate!!Total!!Mongolian","Margin of Error!!Total!!Mongolian","Estimate!!Total!!Nepalese","Margin of Error!!Total!!Nepalese","Estimate!!Total!!Okinawan","Margin of Error!!Total!!Okinawan","Estimate!!Total!!Pakistani","Margin of Error!!Total!!Pakistani","Estimate!!Total!!Sri Lankan","Margin of Error!!Total!!Sri Lankan","Estimate!!Total!!Taiwanese","Margin of Error!!Total!!Taiwanese","Estimate!!Total!!Thai","Margin of Error!!Total!!Thai","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Other Asian, specified","Margin of Error!!Total!!Other Asian, specified","Estimate!!Total!!Other Asian, not specified","Margin of Error!!Total!!Other Asian, not specified","Estimate!!Total!!Two or more Asian","Margin of Error!!Total!!Two or more Asian"
"0100000US","United States","17574550","20968","3852293","19207","169835","5756","27300","3110","160339","6819","260950","6398","4034340","22429","2843071","16000","289199","5875","73194","3425","773714","8927","1455834","10324","206887","6314","19710","1472","19507","1936","150900","6064","3348","456","467123","11811","49069","2458","165365","4246","200241","4335","1781447","18381","5173","671","148191","5367","417520","6667"
