"GEO_ID","NAME","B04001_041M","B04001_042E","B04001_042M","B04001_043E","B04001_043M","B04001_044E","B04001_044M","B04001_045E","B04001_045M","B04001_046E","B04001_046M","B04001_047E","B04001_047M","B04001_048E","B04001_048M","B04001_049E","B04001_049M","B04001_050E","B04001_050M","B04001_051E","B04001_051M","B04001_052E","B04001_052M","B04001_053E","B04001_053M","B04001_054E","B04001_054M","B04001_055E","B04001_055M","B04001_056E","B04001_056M","B04001_057E","B04001_057M","B04001_058E","B04001_058M","B04001_059E","B04001_059M","B04001_060E","B04001_060M","B04001_061E","B04001_061M","B04001_062E","B04001_062M","B04001_063E","B04001_063M","B04001_064E","B04001_064M","B04001_065E","B04001_065M","B04001_066E","B04001_066M","B04001_067E","B04001_067M","B04001_068E","B04001_068M","B04001_069E","B04001_069M","B04001_070E","B04001_070M","B04001_071E","B04001_071M","B04001_072E","B04001_072M","B04001_073E","B04001_073M","B04001_074E","B04001_074M","B04001_075E","B04001_075M","B04001_076E","B04001_076M","B04001_077E","B04001_077M","B04001_078E","B04001_078M","B04001_079E","B04001_079M","B04001_080E","B04001_080M","B04001_081E","B04001_081M","B04001_082E","B04001_082M","B04001_083E","B04001_083M","B04001_084E","B04001_084M","B04001_085E","B04001_085M","B04001_086E","B04001_086M","B04001_087E","B04001_087M","B04001_088E","B04001_088M","B04001_089E","B04001_089M","B04001_090E","B04001_090M","B04001_091E","B04001_091M","B04001_092E","B04001_092M","B04001_093E","B04001_093M","B04001_094E","B04001_094M","B04001_095E","B04001_095M","B04001_096E","B04001_096M","B04001_097E","B04001_097M","B04001_098E","B04001_098M","B04001_099E","B04001_099M","B04001_100E","B04001_100M","B04001_101E","B04001_101M","B04001_102E","B04001_102M","B04001_103E","B04001_103M","B04001_104E","B04001_104M","B04001_105E","B04001_105M","B04001_106E","B04001_106M","B04001_107E","B04001_107M","B04001_108E","B04001_108M","B04001_109E","B04001_109M","B04001_001E","B04001_001M","B04001_002E","B04001_002M","B04001_003E","B04001_003M","B04001_004E","B04001_004M","B04001_005E","B04001_005M","B04001_006E","B04001_006M","B04001_007E","B04001_007M","B04001_008E","B04001_008M","B04001_009E","B04001_009M","B04001_010E","B04001_010M","B04001_011E","B04001_011M","B04001_012E","B04001_012M","B04001_013E","B04001_013M","B04001_014E","B04001_014M","B04001_015E","B04001_015M","B04001_016E","B04001_016M","B04001_017E","B04001_017M","B04001_018E","B04001_018M","B04001_019E","B04001_019M","B04001_020E","B04001_020M","B04001_021E","B04001_021M","B04001_022E","B04001_022M","B04001_023E","B04001_023M","B04001_024E","B04001_024M","B04001_025E","B04001_025M","B04001_026E","B04001_026M","B04001_027E","B04001_027M","B04001_028E","B04001_028M","B04001_029E","B04001_029M","B04001_030E","B04001_030M","B04001_031E","B04001_031M","B04001_032E","B04001_032M","B04001_033E","B04001_033M","B04001_034E","B04001_034M","B04001_035E","B04001_035M","B04001_036E","B04001_036M","B04001_037E","B04001_037M","B04001_038E","B04001_038M","B04001_039E","B04001_039M","B04001_040E","B04001_040M","B04001_041E"
"id","Geographic Area Name","Margin of Error!!Total!!French Canadian","Estimate!!Total!!German","Margin of Error!!Total!!German","Estimate!!Total!!German Russian","Margin of Error!!Total!!German Russian","Estimate!!Total!!Greek","Margin of Error!!Total!!Greek","Estimate!!Total!!Guyanese","Margin of Error!!Total!!Guyanese","Estimate!!Total!!Hungarian","Margin of Error!!Total!!Hungarian","Estimate!!Total!!Icelander","Margin of Error!!Total!!Icelander","Estimate!!Total!!Iranian","Margin of Error!!Total!!Iranian","Estimate!!Total!!Irish","Margin of Error!!Total!!Irish","Estimate!!Total!!Israeli","Margin of Error!!Total!!Israeli","Estimate!!Total!!Italian","Margin of Error!!Total!!Italian","Estimate!!Total!!Latvian","Margin of Error!!Total!!Latvian","Estimate!!Total!!Lithuanian","Margin of Error!!Total!!Lithuanian","Estimate!!Total!!Luxemburger","Margin of Error!!Total!!Luxemburger","Estimate!!Total!!Macedonian","Margin of Error!!Total!!Macedonian","Estimate!!Total!!Maltese","Margin of Error!!Total!!Maltese","Estimate!!Total!!New Zealander","Margin of Error!!Total!!New Zealander","Estimate!!Total!!Northern European","Margin of Error!!Total!!Northern European","Estimate!!Total!!Norwegian","Margin of Error!!Total!!Norwegian","Estimate!!Total!!Pennsylvania German","Margin of Error!!Total!!Pennsylvania German","Estimate!!Total!!Polish","Margin of Error!!Total!!Polish","Estimate!!Total!!Portuguese","Margin of Error!!Total!!Portuguese","Estimate!!Total!!Romanian","Margin of Error!!Total!!Romanian","Estimate!!Total!!Russian","Margin of Error!!Total!!Russian","Estimate!!Total!!Scandinavian","Margin of Error!!Total!!Scandinavian","Estimate!!Total!!Scotch-Irish","Margin of Error!!Total!!Scotch-Irish","Estimate!!Total!!Scottish","Margin of Error!!Total!!Scottish","Estimate!!Total!!Serbian","Margin of Error!!Total!!Serbian","Estimate!!Total!!Slavic","Margin of Error!!Total!!Slavic","Estimate!!Total!!Slovak","Margin of Error!!Total!!Slovak","Estimate!!Total!!Slovene","Margin of Error!!Total!!Slovene","Estimate!!Total!!Soviet Union","Margin of Error!!Total!!Soviet Union","Estimate!!Total!!Subsaharan African","Margin of Error!!Total!!Subsaharan African","Estimate!!Total!!Subsaharan African!!Cape Verdean","Margin of Error!!Total!!Subsaharan African!!Cape Verdean","Estimate!!Total!!Subsaharan African!!Ethiopian","Margin of Error!!Total!!Subsaharan African!!Ethiopian","Estimate!!Total!!Subsaharan African!!Ghanaian","Margin of Error!!Total!!Subsaharan African!!Ghanaian","Estimate!!Total!!Subsaharan African!!Kenyan","Margin of Error!!Total!!Subsaharan African!!Kenyan","Estimate!!Total!!Subsaharan African!!Liberian","Margin of Error!!Total!!Subsaharan African!!Liberian","Estimate!!Total!!Subsaharan African!!Nigerian","Margin of Error!!Total!!Subsaharan African!!Nigerian","Estimate!!Total!!Subsaharan African!!Senegalese","Margin of Error!!Total!!Subsaharan African!!Senegalese","Estimate!!Total!!Subsaharan African!!Sierra Leonean","Margin of Error!!Total!!Subsaharan African!!Sierra Leonean","Estimate!!Total!!Subsaharan African!!Somalian","Margin of Error!!Total!!Subsaharan African!!Somalian","Estimate!!Total!!Subsaharan African!!South African","Margin of Error!!Total!!Subsaharan African!!South African","Estimate!!Total!!Subsaharan African!!Sudanese","Margin of Error!!Total!!Subsaharan African!!Sudanese","Estimate!!Total!!Subsaharan African!!Ugandan","Margin of Error!!Total!!Subsaharan African!!Ugandan","Estimate!!Total!!Subsaharan African!!Zimbabwean","Margin of Error!!Total!!Subsaharan African!!Zimbabwean","Estimate!!Total!!Subsaharan African!!African","Margin of Error!!Total!!Subsaharan African!!African","Estimate!!Total!!Subsaharan African!!Other Subsaharan African","Margin of Error!!Total!!Subsaharan African!!Other Subsaharan African","Estimate!!Total!!Swedish","Margin of Error!!Total!!Swedish","Estimate!!Total!!Swiss","Margin of Error!!Total!!Swiss","Estimate!!Total!!Turkish","Margin of Error!!Total!!Turkish","Estimate!!Total!!Ukrainian","Margin of Error!!Total!!Ukrainian","Estimate!!Total!!Welsh","Margin of Error!!Total!!Welsh","Estimate!!Total!!West Indian (except Hispanic groups)","Margin of Error!!Total!!West Indian (except Hispanic groups)","Estimate!!Total!!West Indian (except Hispanic groups)!!Bahamian","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Bahamian","Estimate!!Total!!West Indian (except Hispanic groups)!!Barbadian","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Barbadian","Estimate!!Total!!West Indian (except Hispanic groups)!!Belizean","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Belizean","Estimate!!Total!!West Indian (except Hispanic groups)!!Bermudan","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Bermudan","Estimate!!Total!!West Indian (except Hispanic groups)!!British West Indian","Margin of Error!!Total!!West Indian (except Hispanic groups)!!British West Indian","Estimate!!Total!!West Indian (except Hispanic groups)!!Dutch West Indian","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Dutch West Indian","Estimate!!Total!!West Indian (except Hispanic groups)!!Haitian","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Haitian","Estimate!!Total!!West Indian (except Hispanic groups)!!Jamaican","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Jamaican","Estimate!!Total!!West Indian (except Hispanic groups)!!Trinidadian and Tobagonian","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Trinidadian and Tobagonian","Estimate!!Total!!West Indian (except Hispanic groups)!!U.S. Virgin Islander","Margin of Error!!Total!!West Indian (except Hispanic groups)!!U.S. Virgin Islander","Estimate!!Total!!West Indian (except Hispanic groups)!!West Indian","Margin of Error!!Total!!West Indian (except Hispanic groups)!!West Indian","Estimate!!Total!!West Indian (except Hispanic groups)!!Other West Indian","Margin of Error!!Total!!West Indian (except Hispanic groups)!!Other West Indian","Estimate!!Total!!Yugoslavian","Margin of Error!!Total!!Yugoslavian","Estimate!!Total!!Other groups","Margin of Error!!Total!!Other groups","Estimate!!Total!!Unclassified or not reported","Margin of Error!!Total!!Unclassified or not reported","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Afghan","Margin of Error!!Total!!Afghan","Estimate!!Total!!Albanian","Margin of Error!!Total!!Albanian","Estimate!!Total!!Alsatian","Margin of Error!!Total!!Alsatian","Estimate!!Total!!American","Margin of Error!!Total!!American","Estimate!!Total!!Arab","Margin of Error!!Total!!Arab","Estimate!!Total!!Arab!!Egyptian","Margin of Error!!Total!!Arab!!Egyptian","Estimate!!Total!!Arab!!Iraqi","Margin of Error!!Total!!Arab!!Iraqi","Estimate!!Total!!Arab!!Jordanian","Margin of Error!!Total!!Arab!!Jordanian","Estimate!!Total!!Arab!!Lebanese","Margin of Error!!Total!!Arab!!Lebanese","Estimate!!Total!!Arab!!Moroccan","Margin of Error!!Total!!Arab!!Moroccan","Estimate!!Total!!Arab!!Palestinian","Margin of Error!!Total!!Arab!!Palestinian","Estimate!!Total!!Arab!!Syrian","Margin of Error!!Total!!Arab!!Syrian","Estimate!!Total!!Arab!!Arab","Margin of Error!!Total!!Arab!!Arab","Estimate!!Total!!Arab!!Other Arab","Margin of Error!!Total!!Arab!!Other Arab","Estimate!!Total!!Armenian","Margin of Error!!Total!!Armenian","Estimate!!Total!!Assyrian/Chaldean/Syriac","Margin of Error!!Total!!Assyrian/Chaldean/Syriac","Estimate!!Total!!Australian","Margin of Error!!Total!!Australian","Estimate!!Total!!Austrian","Margin of Error!!Total!!Austrian","Estimate!!Total!!Basque","Margin of Error!!Total!!Basque","Estimate!!Total!!Belgian","Margin of Error!!Total!!Belgian","Estimate!!Total!!Brazilian","Margin of Error!!Total!!Brazilian","Estimate!!Total!!British","Margin of Error!!Total!!British","Estimate!!Total!!Bulgarian","Margin of Error!!Total!!Bulgarian","Estimate!!Total!!Cajun","Margin of Error!!Total!!Cajun","Estimate!!Total!!Canadian","Margin of Error!!Total!!Canadian","Estimate!!Total!!Carpatho Rusyn","Margin of Error!!Total!!Carpatho Rusyn","Estimate!!Total!!Celtic","Margin of Error!!Total!!Celtic","Estimate!!Total!!Croatian","Margin of Error!!Total!!Croatian","Estimate!!Total!!Cypriot","Margin of Error!!Total!!Cypriot","Estimate!!Total!!Czech","Margin of Error!!Total!!Czech","Estimate!!Total!!Czechoslovakian","Margin of Error!!Total!!Czechoslovakian","Estimate!!Total!!Danish","Margin of Error!!Total!!Danish","Estimate!!Total!!Dutch","Margin of Error!!Total!!Dutch","Estimate!!Total!!Eastern European","Margin of Error!!Total!!Eastern European","Estimate!!Total!!English","Margin of Error!!Total!!English","Estimate!!Total!!Estonian","Margin of Error!!Total!!Estonian","Estimate!!Total!!European","Margin of Error!!Total!!European","Estimate!!Total!!Finnish","Margin of Error!!Total!!Finnish","Estimate!!Total!!French (except Basque)","Margin of Error!!Total!!French (except Basque)","Estimate!!Total!!French Canadian"
"0100000US","United States","12911","33133923","52231","17790","1071","1020770","9003","196705","5605","891170","7880","33787","1610","416280","7985","21491941","52594","109756","4166","13347012","38021","61426","2184","393406","5008","22757","951","47076","2785","29497","1719","13579","1064","239281","4686","2972204","16532","252385","5495","6382163","25234","1008819","9216","334901","6747","2046301","15236","394650","5681","2453037","13896","3448675","16117","139915","4128","77850","2403","455805","5940","106819","2711","1936","409","2746129","25900","87805","3488","203866","6031","95217","4033","49414","2478","48765","3154","255771","7431","12057","1687","15223","1780","114539","5051","48466","2190","37973","3106","10711","1427","6922","995","1623286","19689","136114","4699","2393065","12152","559293","6301","161926","4651","687741","9165","901501","7413","2427518","19155","38072","2304","51212","2697","46326","2430","4745","725","82224","3584","29295","1702","842093","13887","925165","12353","173898","4784","12115","1245","217577","5931","4796","754","238081","6626","113940379","85911","38094198","79943","311536594","*****","82841","4165","172369","6679","5984","598","20200882","41419","1447822","18924","195192","5982","97579","4660","57028","4071","362309","6065","69719","3502","85186","4480","111035","4038","252744","7355","217030","6279","400725","6473","93132","4787","66474","2569","384041","5108","42821","1917","223093","3734","322407","8101","927622","9993","81226","2816","88564","2850","512572","7119","5974","562","37037","1786","271577","4880","5869","636","870036","8709","198074","3008","796520","7266","2541779","13055","421598","6719","17484151","45543","21648","1652","3155155","19254","443798","6146","5024136","22388","1515220"
